,index,nuclear_reactor_freq,country
0,0,13,Sweden
1,1,10,Spain
2,2,3,Brazil
3,3,134,United States Of America
4,5,3,Argentina
5,6,36,Germany
6,7,48,Russian Federation
7,10,8,Bulgaria
8,11,71,France
9,13,45,United Kingdom
10,14,6,Switzerland
11,19,1,Kazakhstan
12,20,9,Slovak Republic
13,22,2,Netherlands
14,28,25,Canada
15,32,1,"Iran, Islamic Republic Of"
17,36,3,Italy
18,39,42,China
19,40,2,Romania
20,43,5,Pakistan
21,44,21,Ukraine
22,45,8,"Taiwan, China"
25,63,8,Belgium
26,69,6,Czech Republic
27,83,62,Japan
33,116,2,Lithuania
34,122,27,India
35,130,2,South Africa
36,132,26,"Korea, Republic Of"
37,134,1,Slovenia
38,140,2,Mexico
40,149,5,Finland
42,157,2,Armenia
43,186,4,Hungary
